waveform	[0]
t0	24.07.2015  09:54:20.160527
delta t	0.002000

time	Y[0]
  20.160527	-1.000000E-3
  20.162527	1.400000E-3
  20.164527	1.400000E-3
  20.166527	1.400000E-3
  20.168527	2.600000E-3
  20.170527	2.600000E-3
  20.172527	1.400000E-3
  20.174527	2.600000E-3
  20.176527	1.400000E-3
  20.178527	1.400000E-3
  20.180527	2.000000E-4
  20.182527	1.400000E-3
  20.184527	1.400000E-3
  20.186527	1.400000E-3
  20.188527	2.000000E-4
  20.190527	2.000000E-4
  20.192527	1.400000E-3
  20.194527	-1.000000E-3
  20.196527	1.400000E-3
  20.198527	1.400000E-3
  20.200527	1.400000E-3
  20.202527	1.400000E-3
  20.204527	1.400000E-3
  20.206527	1.400000E-3
  20.208527	2.600000E-3
  20.210527	2.600000E-3
  20.212527	1.400000E-3
  20.214527	2.600000E-3
  20.216527	2.600000E-3
  20.218527	1.400000E-3
  20.220527	2.000000E-4
  20.222527	1.400000E-3
  20.224527	2.000000E-4
  20.226527	2.000000E-4
  20.228527	2.000000E-4
  20.230527	2.000000E-4
  20.232527	1.400000E-3
  20.234527	-1.000000E-3
  20.236527	2.000000E-4
  20.238527	1.400000E-3
  20.240527	1.400000E-3
  20.242527	1.400000E-3
  20.244527	1.400000E-3
  20.246527	1.400000E-3
  20.248527	2.600000E-3
  20.250527	1.400000E-3
  20.252527	1.400000E-3
  20.254527	2.600000E-3
  20.256527	1.400000E-3
  20.258527	1.400000E-3
  20.260527	1.400000E-3
  20.262527	1.400000E-3
  20.264527	1.400000E-3
  20.266527	2.000000E-4
  20.268527	2.000000E-4
  20.270527	2.000000E-4
  20.272527	1.400000E-3
  20.274527	-1.000000E-3
  20.276527	1.400000E-3
  20.278527	1.400000E-3
  20.280527	1.400000E-3
  20.282527	1.400000E-3
  20.284527	1.400000E-3
  20.286527	1.400000E-3
  20.288527	2.600000E-3
  20.290527	1.400000E-3
  20.292527	2.000000E-4
  20.294527	2.600000E-3
  20.296527	1.400000E-3
  20.298527	1.400000E-3
  20.300527	1.400000E-3
  20.302527	1.400000E-3
  20.304527	2.000000E-4
  20.306527	-1.000000E-3
  20.308527	2.000000E-4
  20.310527	1.400000E-3
  20.312527	1.400000E-3
  20.314527	1.400000E-3
  20.316527	2.600000E-3
  20.318527	1.400000E-3
  20.320527	1.400000E-3
  20.322527	1.400000E-3
  20.324527	1.400000E-3
  20.326527	1.400000E-3
  20.328527	1.400000E-3
  20.330527	2.000000E-4
  20.332527	1.400000E-3
  20.334527	2.000000E-4
  20.336527	2.600000E-3
  20.338527	1.400000E-3
  20.340527	1.400000E-3
  20.342527	2.600000E-3
  20.344527	1.400000E-3
  20.346527	2.600000E-3
  20.348527	1.400000E-3
  20.350527	1.400000E-3
  20.352527	1.400000E-3
  20.354527	2.000000E-4
  20.356527	1.400000E-3
  20.358527	-1.000000E-3
  20.360527	1.400000E-3
  20.362527	1.400000E-3
  20.364527	1.400000E-3
  20.366527	2.600000E-3
  20.368527	2.600000E-3
  20.370527	2.600000E-3
  20.372527	1.400000E-3
  20.374527	1.400000E-3
  20.376527	1.400000E-3
  20.378527	2.000000E-4
  20.380527	2.000000E-4
  20.382527	-1.000000E-3
  20.384527	2.000000E-4
  20.386527	1.400000E-3
  20.388527	1.400000E-3
  20.390527	2.600000E-3
  20.392527	2.600000E-3
  20.394527	1.400000E-3
  20.396527	2.600000E-3
  20.398527	1.400000E-3
  20.400527	1.400000E-3
  20.402527	1.400000E-3
  20.404527	2.000000E-4
  20.406527	1.400000E-3
  20.408527	2.000000E-4
  20.410527	1.400000E-3
  20.412527	1.400000E-3
  20.414527	1.400000E-3
  20.416527	1.400000E-3
  20.418527	2.000000E-4
  20.420527	2.600000E-3
  20.422527	1.400000E-3
  20.424527	1.400000E-3
  20.426527	1.400000E-3
  20.428527	2.000000E-4
  20.430527	1.400000E-3
  20.432527	2.000000E-4
  20.434527	2.000000E-4
  20.436527	1.400000E-3
  20.438527	1.400000E-3
  20.440527	2.600000E-3
  20.442527	1.400000E-3
  20.444527	1.400000E-3
  20.446527	2.600000E-3
  20.448527	1.400000E-3
  20.450527	2.000000E-4
  20.452527	2.000000E-4
  20.454527	1.400000E-3
  20.456527	2.000000E-4
  20.458527	1.400000E-3
  20.460527	1.400000E-3
  20.462527	1.400000E-3
  20.464527	2.600000E-3
  20.466527	1.400000E-3
  20.468527	3.800000E-3
  20.470527	2.600000E-3
  20.472527	1.400000E-3
  20.474527	1.400000E-3
  20.476527	-1.000000E-3
  20.478527	2.000000E-4
  20.480527	2.000000E-4
  20.482527	1.400000E-3
  20.484527	1.400000E-3
  20.486527	1.400000E-3
  20.488527	2.600000E-3
  20.490527	2.600000E-3
  20.492527	1.400000E-3
  20.494527	1.400000E-3
  20.496527	1.400000E-3
  20.498527	2.000000E-4
  20.500527	2.000000E-4
  20.502527	1.400000E-3
  20.504527	2.000000E-4
  20.506527	1.400000E-3
  20.508527	1.400000E-3
  20.510527	1.400000E-3
  20.512527	2.600000E-3
  20.514527	1.400000E-3
  20.516527	2.600000E-3
  20.518527	1.400000E-3
  20.520527	1.400000E-3
  20.522527	2.000000E-4
  20.524527	2.000000E-4
  20.526527	2.000000E-4
  20.528527	-1.000000E-3
  20.530527	2.000000E-4
  20.532527	1.400000E-3
  20.534527	1.400000E-3
  20.536527	2.600000E-3
  20.538527	2.600000E-3
  20.540527	1.400000E-3
  20.542527	1.400000E-3
  20.544527	1.400000E-3
  20.546527	2.000000E-4
  20.548527	2.000000E-4
  20.550527	1.400000E-3
  20.552527	1.400000E-3
  20.554527	1.400000E-3
  20.556527	2.600000E-3
  20.558527	1.400000E-3
  20.560527	2.600000E-3
  20.562527	2.600000E-3
  20.564527	2.600000E-3
  20.566527	1.400000E-3
  20.568527	1.400000E-3
  20.570527	1.400000E-3
  20.572527	2.000000E-4
  20.574527	1.400000E-3
  20.576527	2.000000E-4
  20.578527	2.000000E-4
  20.580527	1.400000E-3
  20.582527	1.400000E-3
  20.584527	2.600000E-3
  20.586527	1.400000E-3
  20.588527	2.600000E-3
  20.590527	1.400000E-3
  20.592527	1.400000E-3
  20.594527	1.400000E-3
  20.596527	2.000000E-4
  20.598527	1.400000E-3
  20.600527	-1.000000E-3
  20.602527	1.400000E-3
  20.604527	1.400000E-3
  20.606527	1.400000E-3
  20.608527	1.400000E-3
  20.610527	2.600000E-3
  20.612527	2.600000E-3
  20.614527	2.600000E-3
  20.616527	1.400000E-3
  20.618527	2.000000E-4
  20.620527	2.000000E-4
  20.622527	1.400000E-3
  20.624527	2.000000E-4
  20.626527	1.400000E-3
  20.628527	1.400000E-3
  20.630527	1.400000E-3
  20.632527	2.600000E-3
  20.634527	2.000000E-4
  20.636527	2.600000E-3
  20.638527	1.400000E-3
  20.640527	1.400000E-3
  20.642527	2.000000E-4
  20.644527	2.000000E-4
  20.646527	1.400000E-3
  20.648527	2.000000E-4
  20.650527	2.000000E-4
  20.652527	1.400000E-3
  20.654527	1.400000E-3
  20.656527	2.600000E-3
  20.658527	1.400000E-3
  20.660527	1.400000E-3
  20.662527	1.400000E-3
  20.664527	1.400000E-3
  20.666527	2.000000E-4
  20.668527	2.000000E-4
  20.670527	1.400000E-3
  20.672527	2.000000E-4
  20.674527	1.400000E-3
  20.676527	1.400000E-3
  20.678527	1.400000E-3
  20.680527	2.600000E-3
  20.682527	1.400000E-3
  20.684527	2.600000E-3
  20.686527	2.600000E-3
  20.688527	1.400000E-3
  20.690527	2.000000E-4
  20.692527	2.000000E-4
  20.694527	2.000000E-4
  20.696527	-1.000000E-3
  20.698527	2.000000E-4
  20.700527	1.400000E-3
  20.702527	1.400000E-3
  20.704527	2.600000E-3
  20.706527	2.600000E-3
  20.708527	2.600000E-3
  20.710527	1.400000E-3
  20.712527	1.400000E-3
