waveform	[0]
t0	24.07.2015  10:12:55.817197
delta t	0.002000

time	Y[0]
  55.817197	4.069000E-4
  55.819197	4.069000E-4
  55.821197	4.069000E-4
  55.823197	4.069000E-4
  55.825197	4.069000E-4
  55.827197	4.069000E-4
  55.829197	4.069000E-4
  55.831197	4.069000E-4
  55.833197	4.069000E-4
  55.835197	4.069000E-4
  55.837197	4.069000E-4
  55.839197	4.069000E-4
  55.841197	4.069000E-4
  55.843197	4.069000E-4
  55.845197	4.069000E-4
  55.847197	4.069000E-4
  55.849197	4.069000E-4
  55.851197	4.069000E-4
  55.853197	4.069000E-4
  55.855197	4.069000E-4
  55.857197	4.069000E-4
  55.859197	4.069000E-4
  55.861197	4.069000E-4
  55.863197	4.069000E-4
  55.865197	4.069000E-4
  55.867197	4.069000E-4
  55.869197	4.069000E-4
  55.871197	4.069000E-4
  55.873197	4.069000E-4
  55.875197	4.069000E-4
  55.877197	4.069000E-4
  55.879197	4.069000E-4
  55.881197	4.069000E-4
  55.883197	4.069000E-4
  55.885197	4.069000E-4
  55.887197	4.069000E-4
  55.889197	4.069000E-4
  55.891197	4.069000E-4
  55.893197	4.069000E-4
  55.895197	4.069000E-4
  55.897197	4.069000E-4
  55.899197	4.069000E-4
  55.901197	4.069000E-4
  55.903197	4.069000E-4
  55.905197	4.069000E-4
  55.907197	4.069000E-4
  55.909197	4.069000E-4
  55.911197	4.069000E-4
  55.913197	4.069000E-4
  55.915197	4.069000E-4
  55.917197	4.069000E-4
  55.919197	4.069000E-4
  55.921197	4.069000E-4
  55.923197	4.069000E-4
  55.925197	4.069000E-4
  55.927197	4.069000E-4
  55.929197	4.069000E-4
  55.931197	4.069000E-4
  55.933197	4.069000E-4
  55.935197	4.069000E-4
  55.937197	4.069000E-4
  55.939197	4.069000E-4
  55.941197	4.069000E-4
  55.943197	4.069000E-4
  55.945197	4.069000E-4
  55.947197	4.069000E-4
  55.949197	4.069000E-4
  55.951197	4.069000E-4
  55.953197	4.069000E-4
  55.955197	4.069000E-4
  55.957197	4.069000E-4
  55.959197	4.069000E-4
  55.961197	4.069000E-4
  55.963197	4.069000E-4
  55.965197	4.069000E-4
  55.967197	4.069000E-4
  55.969197	4.069000E-4
  55.971197	4.069000E-4
  55.973197	4.069000E-4
  55.975197	4.069000E-4
  55.977197	4.069000E-4
  55.979197	4.069000E-4
  55.981197	4.069000E-4
  55.983197	4.069000E-4
  55.985197	4.069000E-4
  55.987197	4.069000E-4
  55.989197	4.069000E-4
  55.991197	4.069000E-4
  55.993197	4.069000E-4
  55.995197	4.069000E-4
  55.997197	4.069000E-4
  55.999197	4.069000E-4
  56.001197	4.069000E-4
  56.003197	4.069000E-4
  56.005197	4.069000E-4
  56.007197	4.069000E-4
  56.009197	4.069000E-4
  56.011197	4.069000E-4
  56.013197	4.069000E-4
  56.015197	4.069000E-4
  56.017197	4.069000E-4
  56.019197	4.069000E-4
  56.021197	4.069000E-4
  56.023197	4.069000E-4
  56.025197	4.069000E-4
  56.027197	4.069000E-4
  56.029197	4.069000E-4
  56.031197	4.069000E-4
  56.033197	4.069000E-4
  56.035197	4.069000E-4
  56.037197	4.069000E-4
  56.039197	4.069000E-4
  56.041197	4.069000E-4
  56.043197	4.069000E-4
  56.045197	4.069000E-4
  56.047197	4.069000E-4
  56.049197	4.069000E-4
  56.051197	4.069000E-4
  56.053197	4.069000E-4
  56.055197	4.069000E-4
  56.057197	4.069000E-4
  56.059197	4.069000E-4
  56.061197	4.069000E-4
  56.063197	4.069000E-4
  56.065197	4.069000E-4
  56.067197	4.069000E-4
  56.069197	4.069000E-4
  56.071197	4.069000E-4
  56.073197	4.069000E-4
  56.075197	4.069000E-4
  56.077197	4.069000E-4
  56.079197	4.069000E-4
  56.081197	4.069000E-4
  56.083197	4.069000E-4
  56.085197	4.069000E-4
  56.087197	4.069000E-4
  56.089197	4.069000E-4
  56.091197	4.069000E-4
  56.093197	4.069000E-4
  56.095197	4.069000E-4
  56.097197	4.069000E-4
  56.099197	4.069000E-4
  56.101197	4.069000E-4
  56.103197	4.069000E-4
  56.105197	4.069000E-4
  56.107197	4.069000E-4
  56.109197	4.069000E-4
  56.111197	4.069000E-4
  56.113197	4.069000E-4
  56.115197	4.069000E-4
  56.117197	4.069000E-4
  56.119197	4.069000E-4
  56.121197	4.069000E-4
  56.123197	4.069000E-4
  56.125197	4.069000E-4
  56.127197	4.069000E-4
  56.129197	4.069000E-4
  56.131197	4.069000E-4
  56.133197	4.069000E-4
  56.135197	4.069000E-4
  56.137197	4.069000E-4
  56.139197	4.069000E-4
  56.141197	4.069000E-4
  56.143197	4.069000E-4
  56.145197	4.069000E-4
  56.147197	4.069000E-4
  56.149197	4.069000E-4
