waveform	[0]
t0	16.07.2015  16:09:40.415900
delta t	0.002000

time	Y[0]
  40.415900	-8.000000E-4
  40.417900	-8.000000E-4
  40.419900	-8.000000E-4
  40.421900	-2.000000E-3
  40.423900	-2.000000E-3
  40.425900	-2.000000E-3
  40.427900	-2.000000E-3
  40.429900	-2.000000E-3
  40.431900	-2.000000E-3
  40.433900	-2.000000E-3
  40.435900	-8.000000E-4
  40.437900	-8.000000E-4
  40.439900	-8.000000E-4
  40.441900	-2.000000E-3
  40.443900	-8.000000E-4
  40.445900	-2.000000E-3
  40.447900	-2.000000E-3
  40.449900	-2.000000E-3
  40.451900	-2.000000E-3
  40.453900	-2.000000E-3
  40.455900	-2.000000E-3
  40.457900	-8.000000E-4
  40.459900	-8.000000E-4
  40.461900	-8.000000E-4
  40.463900	-8.000000E-4
  40.465900	-2.000000E-3
  40.467900	-8.000000E-4
  40.469900	-2.000000E-3
  40.471900	-2.000000E-3
  40.473900	-2.000000E-3
  40.475900	-8.000000E-4
  40.477900	-2.000000E-3
  40.479900	-8.000000E-4
  40.481900	-2.000000E-3
  40.483900	-2.000000E-3
  40.485900	-8.000000E-4
  40.487900	-2.000000E-3
  40.489900	-2.000000E-3
  40.491900	-8.000000E-4
  40.493900	-2.000000E-3
  40.495900	-2.000000E-3
  40.497900	-2.000000E-3
  40.499900	-8.000000E-4
  40.501900	-2.000000E-3
  40.503900	-8.000000E-4
  40.505900	-2.000000E-3
  40.507900	-8.000000E-4
  40.509900	-2.000000E-3
  40.511900	-8.000000E-4
  40.513900	-2.000000E-3
  40.515900	-8.000000E-4
  40.517900	-2.000000E-3
  40.519900	-8.000000E-4
  40.521900	-2.000000E-3
  40.523900	-8.000000E-4
  40.525900	-2.000000E-3
  40.527900	-2.000000E-3
  40.529900	-2.000000E-3
  40.531900	-2.000000E-3
  40.533900	-2.000000E-3
  40.535900	-8.000000E-4
  40.537900	-2.000000E-3
  40.539900	-8.000000E-4
  40.541900	-2.000000E-3
  40.543900	-2.000000E-3
  40.545900	-8.000000E-4
  40.547900	-2.000000E-3
  40.549900	-2.000000E-3
  40.551900	-8.000000E-4
  40.553900	-2.000000E-3
  40.555900	-2.000000E-3
  40.557900	-2.000000E-3
  40.559900	-8.000000E-4
  40.561900	-8.000000E-4
  40.563900	-8.000000E-4
  40.565900	-2.000000E-3
  40.567900	-2.000000E-3
  40.569900	-2.000000E-3
  40.571900	-2.000000E-3
  40.573900	-2.000000E-3
  40.575900	-8.000000E-4
  40.577900	-2.000000E-3
  40.579900	-2.000000E-3
  40.581900	-8.000000E-4
  40.583900	-2.000000E-3
  40.585900	-2.000000E-3
  40.587900	-2.000000E-3
  40.589900	-2.000000E-3
  40.591900	-8.000000E-4
  40.593900	-2.000000E-3
  40.595900	-8.000000E-4
  40.597900	-8.000000E-4
  40.599900	-8.000000E-4
  40.601900	-2.000000E-3
  40.603900	-2.000000E-3
  40.605900	-2.000000E-3
  40.607900	-2.000000E-3
  40.609900	-2.000000E-3
  40.611900	-8.000000E-4
  40.613900	-2.000000E-3
  40.615900	-2.000000E-3
  40.617900	-8.000000E-4
  40.619900	-8.000000E-4
  40.621900	-2.000000E-3
  40.623900	-2.000000E-3
  40.625900	-8.000000E-4
  40.627900	-2.000000E-3
  40.629900	-2.000000E-3
  40.631900	-8.000000E-4
  40.633900	-2.000000E-3
  40.635900	-8.000000E-4
  40.637900	-2.000000E-3
  40.639900	-8.000000E-4
  40.641900	-2.000000E-3
  40.643900	-8.000000E-4
  40.645900	-2.000000E-3
  40.647900	-2.000000E-3
  40.649900	-2.000000E-3
  40.651900	-2.000000E-3
  40.653900	-2.000000E-3
  40.655900	-2.000000E-3
  40.657900	-2.000000E-3
  40.659900	-2.000000E-3
  40.661900	-2.000000E-3
  40.663900	-8.000000E-4
  40.665900	-2.000000E-3
  40.667900	-2.000000E-3
  40.669900	-2.000000E-3
  40.671900	-8.000000E-4
  40.673900	-2.000000E-3
  40.675900	-2.000000E-3
  40.677900	-2.000000E-3
  40.679900	-8.000000E-4
  40.681900	-8.000000E-4
  40.683900	-8.000000E-4
  40.685900	-8.000000E-4
  40.687900	-8.000000E-4
  40.689900	-2.000000E-3
  40.691900	-2.000000E-3
  40.693900	-2.000000E-3
  40.695900	-2.000000E-3
  40.697900	-2.000000E-3
  40.699900	-8.000000E-4
  40.701900	-2.000000E-3
  40.703900	-8.000000E-4
  40.705900	-2.000000E-3
  40.707900	-2.000000E-3
  40.709900	-2.000000E-3
  40.711900	-8.000000E-4
  40.713900	-2.000000E-3
  40.715900	-8.000000E-4
  40.717900	-2.000000E-3
  40.719900	-8.000000E-4
  40.721900	-2.000000E-3
  40.723900	-8.000000E-4
  40.725900	-2.000000E-3
  40.727900	-2.000000E-3
  40.729900	-2.000000E-3
  40.731900	-8.000000E-4
  40.733900	-2.000000E-3
  40.735900	-8.000000E-4
  40.737900	-2.000000E-3
  40.739900	-8.000000E-4
  40.741900	-2.000000E-3
  40.743900	-8.000000E-4
  40.745900	-2.000000E-3
  40.747900	-8.000000E-4
  40.749900	-2.000000E-3
  40.751900	-2.000000E-3
  40.753900	-2.000000E-3
  40.755900	-8.000000E-4
  40.757900	-2.000000E-3
  40.759900	-8.000000E-4
  40.761900	-8.000000E-4
  40.763900	-2.000000E-3
