waveform	[0]
t0	24.07.2015  11:33:57,385058
delta t	0,002000

time	Y[0]
  57,385058	-7,600000E-3
  57,387058	-7,600000E-3
  57,389058	-7,600000E-3
  57,391058	-8,800000E-3
  57,393058	-6,400000E-3
  57,395058	-8,800000E-3
  57,397058	-8,800000E-3
  57,399058	-8,800000E-3
  57,401058	-7,600000E-3
  57,403058	-1,000000E-2
  57,405058	-7,600000E-3
  57,407058	-7,600000E-3
  57,409058	-7,600000E-3
  57,411058	-8,800000E-3
  57,413058	-6,400000E-3
  57,415058	-8,800000E-3
  57,417058	-8,800000E-3
  57,419058	-8,800000E-3
  57,421058	-7,600000E-3
  57,423058	-1,000000E-2
  57,425058	-7,600000E-3
  57,427058	-8,800000E-3
  57,429058	-6,400000E-3
  57,431058	-8,800000E-3
  57,433058	-6,400000E-3
  57,435058	-8,800000E-3
  57,437058	-7,600000E-3
  57,439058	-8,800000E-3
  57,441058	-7,600000E-3
  57,443058	-1,000000E-2
  57,445058	-7,600000E-3
  57,447058	-7,600000E-3
  57,449058	-7,600000E-3
  57,451058	-8,800000E-3
  57,453058	-6,400000E-3
  57,455058	-7,600000E-3
  57,457058	-8,800000E-3
  57,459058	-8,800000E-3
  57,461058	-7,600000E-3
  57,463058	-1,000000E-2
  57,465058	-7,600000E-3
  57,467058	-7,600000E-3
  57,469058	-7,600000E-3
  57,471058	-8,800000E-3
  57,473058	-6,400000E-3
  57,475058	-7,600000E-3
  57,477058	-8,800000E-3
  57,479058	-8,800000E-3
  57,481058	-7,600000E-3
  57,483058	-1,000000E-2
  57,485058	-7,600000E-3
  57,487058	-7,600000E-3
  57,489058	-7,600000E-3
  57,491058	-8,800000E-3
  57,493058	-5,200000E-3
  57,495058	-8,800000E-3
  57,497058	-8,800000E-3
  57,499058	-8,800000E-3
  57,501058	-6,400000E-3
  57,503058	-1,000000E-2
  57,505058	-7,600000E-3
  57,507058	-7,600000E-3
  57,509058	-7,600000E-3
  57,511058	-8,800000E-3
  57,513058	-6,400000E-3
  57,515058	-7,600000E-3
  57,517058	-7,600000E-3
  57,519058	-8,800000E-3
  57,521058	-6,400000E-3
  57,523058	-1,000000E-2
  57,525058	-7,600000E-3
  57,527058	-7,600000E-3
  57,529058	-7,600000E-3
  57,531058	-8,800000E-3
  57,533058	-6,400000E-3
  57,535058	-8,800000E-3
  57,537058	-7,600000E-3
  57,539058	-8,800000E-3
  57,541058	-7,600000E-3
  57,543058	-1,000000E-2
  57,545058	-7,600000E-3
  57,547058	-7,600000E-3
  57,549058	-7,600000E-3
  57,551058	-8,800000E-3
  57,553058	-6,400000E-3
  57,555058	-8,800000E-3
  57,557058	-7,600000E-3
  57,559058	-1,000000E-2
  57,561058	-6,400000E-3
  57,563058	-1,000000E-2
  57,565058	-7,600000E-3
  57,567058	-7,600000E-3
  57,569058	-6,400000E-3
  57,571058	-8,800000E-3
  57,573058	-6,400000E-3
  57,575058	-7,600000E-3
  57,577058	-7,600000E-3
  57,579058	-8,800000E-3
  57,581058	-6,400000E-3
  57,583058	-1,000000E-2
  57,585058	-7,600000E-3
  57,587058	-7,600000E-3
  57,589058	-6,400000E-3
  57,591058	-8,800000E-3
  57,593058	-6,400000E-3
  57,595058	-7,600000E-3
  57,597058	-8,800000E-3
  57,599058	-1,000000E-2
  57,601058	-8,800000E-3
  57,603058	-1,000000E-2
  57,605058	-8,800000E-3
  57,607058	-7,600000E-3
  57,609058	-6,400000E-3
  57,611058	-7,600000E-3
  57,613058	-5,200000E-3
  57,615058	-7,600000E-3
  57,617058	-7,600000E-3
  57,619058	-1,000000E-2
  57,621058	-8,800000E-3
  57,623058	-1,000000E-2
  57,625058	-7,600000E-3
  57,627058	-7,600000E-3
  57,629058	-6,400000E-3
  57,631058	-7,600000E-3
  57,633058	-5,200000E-3
  57,635058	-7,600000E-3
  57,637058	-8,800000E-3
  57,639058	-1,000000E-2
  57,641058	-8,800000E-3
  57,643058	-1,000000E-2
  57,645058	-8,800000E-3
  57,647058	-7,600000E-3
  57,649058	-6,400000E-3
  57,651058	-6,400000E-3
  57,653058	-5,200000E-3
  57,655058	-7,600000E-3
  57,657058	-8,800000E-3
  57,659058	-1,000000E-2
  57,661058	-8,800000E-3
  57,663058	-1,000000E-2
  57,665058	-7,600000E-3
  57,667058	-7,600000E-3
  57,669058	-6,400000E-3
  57,671058	-7,600000E-3
  57,673058	-5,200000E-3
  57,675058	-7,600000E-3
  57,677058	-8,800000E-3
  57,679058	-1,000000E-2
  57,681058	-8,800000E-3
  57,683058	-1,000000E-2
  57,685058	-7,600000E-3
  57,687058	-7,600000E-3
  57,689058	-5,200000E-3
  57,691058	-7,600000E-3
  57,693058	-5,200000E-3
  57,695058	-7,600000E-3
  57,697058	-8,800000E-3
  57,699058	-1,000000E-2
  57,701058	-8,800000E-3
  57,703058	-1,000000E-2
  57,705058	-7,600000E-3
  57,707058	-7,600000E-3
  57,709058	-6,400000E-3
  57,711058	-7,600000E-3
  57,713058	-5,200000E-3
  57,715058	-7,600000E-3
  57,717058	-8,800000E-3
  57,719058	-1,000000E-2
  57,721058	-8,800000E-3
  57,723058	-1,000000E-2
  57,725058	-8,800000E-3
  57,727058	-7,600000E-3
  57,729058	-6,400000E-3
  57,731058	-6,400000E-3
  57,733058	-4,000000E-3
  57,735058	-7,600000E-3
  57,737058	-7,600000E-3
  57,739058	-1,000000E-2
  57,741058	-8,800000E-3
  57,743058	-1,000000E-2
  57,745058	-8,800000E-3
  57,747058	-7,600000E-3
  57,749058	-5,200000E-3
  57,751058	-7,600000E-3
  57,753058	-5,200000E-3
  57,755058	-7,600000E-3
  57,757058	-8,800000E-3
  57,759058	-1,000000E-2
  57,761058	-8,800000E-3
  57,763058	-1,000000E-2
  57,765058	-8,800000E-3
  57,767058	-7,600000E-3
  57,769058	-6,400000E-3
  57,771058	-7,600000E-3
  57,773058	-5,200000E-3
  57,775058	-7,600000E-3
  57,777058	-8,800000E-3
  57,779058	-1,000000E-2
  57,781058	-8,800000E-3
  57,783058	-1,000000E-2
  57,785058	-8,800000E-3
  57,787058	-7,600000E-3
  57,789058	-6,400000E-3
  57,791058	-7,600000E-3
  57,793058	-4,000000E-3
  57,795058	-7,600000E-3
  57,797058	-7,600000E-3
  57,799058	-1,000000E-2
  57,801058	-7,600000E-3
  57,803058	-1,000000E-2
  57,805058	-8,800000E-3
  57,807058	-7,600000E-3
  57,809058	-6,400000E-3
  57,811058	-7,600000E-3
  57,813058	-4,000000E-3
  57,815058	-7,600000E-3
  57,817058	-7,600000E-3
  57,819058	-1,000000E-2
  57,821058	-8,800000E-3
  57,823058	-1,000000E-2
  57,825058	-8,800000E-3
  57,827058	-7,600000E-3
  57,829058	-6,400000E-3
  57,831058	-7,600000E-3
  57,833058	-5,200000E-3
  57,835058	-7,600000E-3
  57,837058	-7,600000E-3
  57,839058	-8,800000E-3
  57,841058	-8,800000E-3
  57,843058	-1,000000E-2
  57,845058	-8,800000E-3
  57,847058	-7,600000E-3
  57,849058	-6,400000E-3
  57,851058	-6,400000E-3
  57,853058	-4,000000E-3
  57,855058	-7,600000E-3
  57,857058	-7,600000E-3
  57,859058	-1,000000E-2
  57,861058	-8,800000E-3
  57,863058	-1,000000E-2
  57,865058	-7,600000E-3
  57,867058	-7,600000E-3
  57,869058	-6,400000E-3
  57,871058	-7,600000E-3
  57,873058	-4,000000E-3
  57,875058	-6,400000E-3
  57,877058	-7,600000E-3
  57,879058	-8,800000E-3
  57,881058	-8,800000E-3
  57,883058	-1,000000E-2
  57,885058	-8,800000E-3
  57,887058	-7,600000E-3
  57,889058	-6,400000E-3
  57,891058	-7,600000E-3
  57,893058	-4,000000E-3
  57,895058	-7,600000E-3
  57,897058	-7,600000E-3
  57,899058	-1,000000E-2
  57,901058	-8,800000E-3
  57,903058	-1,000000E-2
  57,905058	-8,800000E-3
  57,907058	-7,600000E-3
  57,909058	-6,400000E-3
  57,911058	-6,400000E-3
  57,913058	-4,000000E-3
  57,915058	-7,600000E-3
  57,917058	-8,800000E-3
  57,919058	-1,000000E-2
  57,921058	-8,800000E-3
  57,923058	-1,000000E-2
  57,925058	-8,800000E-3
  57,927058	-7,600000E-3
  57,929058	-6,400000E-3
  57,931058	-6,400000E-3
  57,933058	-4,000000E-3
  57,935058	-7,600000E-3
  57,937058	-7,600000E-3
  57,939058	-8,800000E-3
  57,941058	-8,800000E-3
  57,943058	-1,000000E-2
  57,945058	-8,800000E-3
  57,947058	-7,600000E-3
  57,949058	-7,600000E-3
  57,951058	-8,800000E-3
  57,953058	-5,200000E-3
  57,955058	-7,600000E-3
  57,957058	-7,600000E-3
  57,959058	-8,800000E-3
  57,961058	-7,600000E-3
  57,963058	-1,000000E-2
  57,965058	-7,600000E-3
  57,967058	-7,600000E-3
  57,969058	-7,600000E-3
  57,971058	-8,800000E-3
  57,973058	-5,200000E-3
  57,975058	-7,600000E-3
  57,977058	-7,600000E-3
  57,979058	-7,600000E-3
  57,981058	-7,600000E-3
  57,983058	-1,000000E-2
  57,985058	-7,600000E-3
  57,987058	-7,600000E-3
  57,989058	-7,600000E-3
  57,991058	-7,600000E-3
  57,993058	-5,200000E-3
  57,995058	-7,600000E-3
  57,997058	-7,600000E-3
  57,999058	-8,800000E-3
  58,001058	-7,600000E-3
  58,003058	-1,000000E-2
  58,005058	-7,600000E-3
  58,007058	-7,600000E-3
  58,009058	-7,600000E-3
  58,011058	-8,800000E-3
  58,013058	-5,200000E-3
  58,015058	-7,600000E-3
  58,017058	-7,600000E-3
  58,019058	-8,800000E-3
  58,021058	-7,600000E-3
  58,023058	-1,000000E-2
  58,025058	-7,600000E-3
  58,027058	-7,600000E-3
  58,029058	-7,600000E-3
  58,031058	-7,600000E-3
  58,033058	-5,200000E-3
  58,035058	-7,600000E-3
  58,037058	-7,600000E-3
  58,039058	-8,800000E-3
  58,041058	-7,600000E-3
  58,043058	-1,000000E-2
  58,045058	-7,600000E-3
  58,047058	-7,600000E-3
  58,049058	-7,600000E-3
  58,051058	-8,800000E-3
  58,053058	-5,200000E-3
  58,055058	-7,600000E-3
  58,057058	-7,600000E-3
  58,059058	-7,600000E-3
  58,061058	-7,600000E-3
  58,063058	-1,000000E-2
  58,065058	-7,600000E-3
  58,067058	-7,600000E-3
  58,069058	-7,600000E-3
  58,071058	-7,600000E-3
  58,073058	-5,200000E-3
  58,075058	-6,400000E-3
  58,077058	-7,600000E-3
  58,079058	-8,800000E-3
  58,081058	-6,400000E-3
  58,083058	-1,000000E-2
  58,085058	-7,600000E-3
  58,087058	-7,600000E-3
  58,089058	-7,600000E-3
  58,091058	-8,800000E-3
  58,093058	-5,200000E-3
  58,095058	-7,600000E-3
  58,097058	-7,600000E-3
  58,099058	-8,800000E-3
  58,101058	-7,600000E-3
  58,103058	-1,000000E-2
  58,105058	-7,600000E-3
  58,107058	-7,600000E-3
  58,109058	-6,400000E-3
  58,111058	-7,600000E-3
  58,113058	-5,200000E-3
  58,115058	-7,600000E-3
  58,117058	-7,600000E-3
  58,119058	-8,800000E-3
  58,121058	-7,600000E-3
  58,123058	-1,000000E-2
  58,125058	-7,600000E-3
  58,127058	-7,600000E-3
  58,129058	-7,600000E-3
  58,131058	-8,800000E-3
  58,133058	-5,200000E-3
  58,135058	-7,600000E-3
  58,137058	-7,600000E-3
  58,139058	-8,800000E-3
  58,141058	-6,400000E-3
  58,143058	-1,000000E-2
  58,145058	-7,600000E-3
  58,147058	-7,600000E-3
  58,149058	-7,600000E-3
