waveform	[0]
t0	24.07.2015  13:06:18.453876
delta t	0.002000

time	Y[0]
  18.453876	-1.000000E-2
  18.455876	-1.000000E-2
  18.457876	-1.000000E-2
  18.459876	-1.000000E-2
  18.461876	-1.000000E-2
  18.463876	-1.000000E-2
  18.465876	-1.000000E-2
  18.467876	-1.000000E-2
  18.469876	-1.000000E-2
  18.471876	-1.000000E-2
  18.473876	-1.000000E-2
  18.475876	-1.000000E-2
  18.477876	-1.000000E-2
  18.479876	-1.000000E-2
  18.481876	-1.000000E-2
  18.483876	-1.000000E-2
  18.485876	-1.000000E-2
  18.487876	-1.000000E-2
  18.489876	-1.000000E-2
  18.491876	-1.000000E-2
  18.493876	-1.000000E-2
  18.495876	-1.000000E-2
  18.497876	-1.000000E-2
  18.499876	-1.000000E-2
  18.501876	-1.000000E-2
  18.503876	-1.000000E-2
  18.505876	-1.000000E-2
  18.507876	-1.000000E-2
  18.509876	-1.000000E-2
  18.511876	-1.000000E-2
  18.513876	-1.000000E-2
  18.515876	-1.000000E-2
  18.517876	-1.000000E-2
  18.519876	-1.000000E-2
  18.521876	-1.000000E-2
  18.523876	-1.000000E-2
  18.525876	-1.000000E-2
  18.527876	-1.000000E-2
  18.529876	-1.000000E-2
  18.531876	-1.000000E-2
  18.533876	-1.000000E-2
  18.535876	-1.000000E-2
  18.537876	-1.000000E-2
  18.539876	-1.000000E-2
  18.541876	-1.000000E-2
  18.543876	-1.000000E-2
  18.545876	-1.000000E-2
  18.547876	-1.000000E-2
  18.549876	-1.000000E-2
  18.551876	-1.000000E-2
  18.553876	-1.000000E-2
  18.555876	-1.000000E-2
  18.557876	-1.000000E-2
  18.559876	-1.000000E-2
  18.561876	-1.000000E-2
  18.563876	-1.000000E-2
  18.565876	-1.000000E-2
  18.567876	-1.000000E-2
  18.569876	-1.000000E-2
  18.571876	-1.000000E-2
  18.573876	-1.000000E-2
  18.575876	-1.000000E-2
  18.577876	-1.000000E-2
  18.579876	-1.000000E-2
  18.581876	-1.000000E-2
  18.583876	-1.000000E-2
  18.585876	-1.000000E-2
  18.587876	-1.000000E-2
  18.589876	-1.000000E-2
  18.591876	-1.000000E-2
  18.593876	-1.000000E-2
  18.595876	-1.000000E-2
  18.597876	-1.000000E-2
  18.599876	-1.000000E-2
  18.601876	-1.000000E-2
  18.603876	-1.000000E-2
  18.605876	-1.000000E-2
  18.607876	-1.000000E-2
  18.609876	-1.000000E-2
  18.611876	-1.000000E-2
  18.613876	-1.000000E-2
  18.615876	-1.000000E-2
  18.617876	-1.000000E-2
  18.619876	-1.000000E-2
  18.621876	-1.000000E-2
  18.623876	-1.000000E-2
  18.625876	-1.000000E-2
  18.627876	-1.000000E-2
  18.629876	-1.000000E-2
  18.631876	-1.000000E-2
  18.633876	-1.000000E-2
  18.635876	-1.000000E-2
  18.637876	-1.000000E-2
  18.639876	-1.000000E-2
  18.641876	-1.000000E-2
  18.643876	-1.000000E-2
  18.645876	-1.000000E-2
  18.647876	-1.000000E-2
  18.649876	-1.000000E-2
