waveform	[0]
t0	24.07.2015  13:32:22.835239
delta t	0.002000

time	Y[0]
  22.835239	0.000000E+0
  22.837239	0.000000E+0
  22.839239	0.000000E+0
  22.841239	0.000000E+0
  22.843239	0.000000E+0
  22.845239	0.000000E+0
  22.847239	0.000000E+0
  22.849239	0.000000E+0
  22.851239	0.000000E+0
  22.853239	0.000000E+0
  22.855239	0.000000E+0
  22.857239	0.000000E+0
  22.859239	0.000000E+0
  22.861239	0.000000E+0
  22.863239	0.000000E+0
  22.865239	0.000000E+0
  22.867239	0.000000E+0
  22.869239	0.000000E+0
  22.871239	0.000000E+0
  22.873239	0.000000E+0
  22.875239	0.000000E+0
  22.877239	0.000000E+0
  22.879239	0.000000E+0
  22.881239	0.000000E+0
  22.883239	0.000000E+0
  22.885239	0.000000E+0
  22.887239	0.000000E+0
  22.889239	0.000000E+0
  22.891239	0.000000E+0
  22.893239	0.000000E+0
  22.895239	1.200000E-3
  22.897239	0.000000E+0
  22.899239	0.000000E+0
  22.901239	0.000000E+0
  22.903239	0.000000E+0
  22.905239	0.000000E+0
  22.907239	0.000000E+0
  22.909239	0.000000E+0
  22.911239	0.000000E+0
  22.913239	0.000000E+0
  22.915239	0.000000E+0
  22.917239	0.000000E+0
  22.919239	0.000000E+0
  22.921239	0.000000E+0
  22.923239	0.000000E+0
  22.925239	0.000000E+0
  22.927239	0.000000E+0
  22.929239	0.000000E+0
  22.931239	0.000000E+0
  22.933239	0.000000E+0
  22.935239	0.000000E+0
  22.937239	0.000000E+0
  22.939239	0.000000E+0
  22.941239	0.000000E+0
  22.943239	0.000000E+0
  22.945239	0.000000E+0
  22.947239	0.000000E+0
  22.949239	0.000000E+0
  22.951239	0.000000E+0
  22.953239	0.000000E+0
  22.955239	0.000000E+0
  22.957239	0.000000E+0
  22.959239	0.000000E+0
  22.961239	0.000000E+0
  22.963239	0.000000E+0
  22.965239	0.000000E+0
  22.967239	0.000000E+0
  22.969239	0.000000E+0
  22.971239	0.000000E+0
  22.973239	0.000000E+0
  22.975239	1.200000E-3
  22.977239	0.000000E+0
  22.979239	0.000000E+0
  22.981239	0.000000E+0
  22.983239	0.000000E+0
  22.985239	0.000000E+0
  22.987239	0.000000E+0
  22.989239	0.000000E+0
  22.991239	0.000000E+0
  22.993239	0.000000E+0
  22.995239	0.000000E+0
  22.997239	0.000000E+0
  22.999239	0.000000E+0
  23.001239	0.000000E+0
  23.003239	0.000000E+0
  23.005239	0.000000E+0
  23.007239	0.000000E+0
  23.009239	0.000000E+0
  23.011239	0.000000E+0
  23.013239	0.000000E+0
  23.015239	0.000000E+0
  23.017239	0.000000E+0
  23.019239	0.000000E+0
  23.021239	0.000000E+0
  23.023239	0.000000E+0
  23.025239	0.000000E+0
  23.027239	0.000000E+0
  23.029239	0.000000E+0
  23.031239	0.000000E+0
  23.033239	0.000000E+0
  23.035239	1.200000E-3
  23.037239	0.000000E+0
  23.039239	0.000000E+0
  23.041239	0.000000E+0
  23.043239	0.000000E+0
  23.045239	0.000000E+0
  23.047239	0.000000E+0
  23.049239	0.000000E+0
  23.051239	0.000000E+0
  23.053239	0.000000E+0
  23.055239	1.200000E-3
  23.057239	0.000000E+0
  23.059239	0.000000E+0
  23.061239	0.000000E+0
  23.063239	0.000000E+0
  23.065239	0.000000E+0
  23.067239	0.000000E+0
  23.069239	0.000000E+0
  23.071239	0.000000E+0
  23.073239	0.000000E+0
  23.075239	0.000000E+0
