time [ms];channel 1 [bar];channel 2 [bar]
0.0;-0.64;-0.63
1.0;-0.64;-0.64
2.0;-0.64;-0.64
3.0;-0.64;-0.63
4.0;-0.62;-0.62
5.0;-0.61;-0.61
6.0;-0.62;-0.62
7.0;-0.64;-0.64
8.0;-0.65;-0.64
9.0;-0.65;-0.64
10.0;-0.65;-0.65
11.0;-0.65;-0.63
12.0;-0.65;-0.64
13.0;-0.66;-0.63
14.0;-0.67;-0.65
15.0;-0.69;-0.66
16.0;-0.67;-0.64
17.0;-0.65;-0.64
18.0;-0.64;-0.63
19.0;-0.64;-0.63
20.0;-0.64;-0.64
21.0;-0.64;-0.64
22.0;-0.64;-0.64
23.0;-0.64;-0.63
24.0;-0.62;-0.62
25.0;-0.61;-0.61
26.0;-0.63;-0.62
27.0;-0.65;-0.64
28.0;-0.65;-0.64
29.0;-0.65;-0.64
30.0;-0.64;-0.63
31.0;-0.60;-0.62
32.0;-0.56;-0.59
33.0;-0.56;-0.54
34.0;-0.57;-0.55
35.0;-0.54;-0.49
36.0;-0.51;-0.47
37.0;-0.47;-0.45
38.0;-0.43;-0.37
39.0;-0.39;-0.34
40.0;-0.41;-0.37
41.0;-0.41;-0.35
42.0;-0.36;-0.34
43.0;-0.35;-0.32
44.0;-0.29;-0.31
45.0;-0.27;-0.27
46.0;-0.28;-0.28
47.0;-0.29;-0.28
48.0;-0.28;-0.26
49.0;-0.27;-0.23
50.0;-0.27;-0.23
51.0;-0.24;-0.23
52.0;-0.24;-0.20
53.0;-0.24;-0.21
54.0;-0.25;-0.21
55.0;-0.22;-0.20
56.0;-0.19;-0.19
57.0;-0.18;-0.16
58.0;-0.17;-0.15
59.0;-0.14;-0.14
60.0;-0.14;-0.13
61.0;-0.14;-0.13
62.0;-0.13;-0.12
63.0;-0.11;-0.11
64.0;-0.08;-0.09
65.0;-0.08;-0.09
66.0;-0.09;-0.08
67.0;-0.11;-0.08
68.0;-0.10;-0.08
69.0;-0.08;-0.07
70.0;-0.08;-0.07
71.0;-0.07;-0.07
72.0;-0.07;-0.05
73.0;-0.07;-0.06
74.0;-0.09;-0.07
75.0;-0.08;-0.06
76.0;-0.06;-0.04
77.0;-0.04;-0.03
78.0;-0.03;-0.02
79.0;-0.03;-0.02
80.0;-0.02;-0.02
81.0;-0.02;-0.02
82.0;-0.02;-0.01
83.0;0.00;0.00
84.0;0.02;0.01
85.0;0.01;0.01
86.0;0.00;0.00
87.0;-0.01;0.00
88.0;-0.01;0.00
89.0;-0.01;0.00
90.0;0.00;0.00
91.0;0.00;0.00
92.0;-0.01;0.00
93.0;-0.02;0.00
94.0;-0.04;-0.01
95.0;-0.02;0.00
96.0;0.00;0.01
97.0;0.11;0.09
98.0;0.40;0.50
99.0;0.48;0.39
100.0;0.79;0.81
101.0;0.76;0.62
102.0;0.87;0.99
103.0;1.00;1.12
104.0;1.05;1.05
105.0;1.18;1.21
106.0;1.24;1.27
107.0;1.29;1.38
108.0;1.39;1.43
109.0;1.47;1.46
110.0;1.56;1.59
111.0;1.68;1.66
112.0;1.77;1.77
113.0;1.85;1.82
114.0;1.92;1.95
115.0;2.03;2.04
116.0;2.13;2.13
117.0;2.26;2.25
118.0;2.34;2.34
119.0;2.44;2.45
120.0;2.53;2.53
121.0;2.61;2.62
122.0;2.73;2.72
123.0;2.83;2.82
124.0;2.92;2.90
125.0;2.98;2.98
126.0;3.05;3.04
127.0;3.10;3.11
128.0;3.18;3.18
129.0;3.24;3.26
130.0;3.31;3.33
131.0;3.37;3.38
132.0;3.43;3.44
133.0;3.47;3.48
134.0;3.50;3.52
135.0;3.57;3.58
136.0;3.63;3.63
137.0;3.67;3.68
138.0;3.71;3.72
139.0;3.74;3.75
140.0;3.77;3.79
141.0;3.80;3.82
142.0;3.84;3.85
143.0;3.89;3.89
144.0;3.91;3.91
145.0;3.91;3.92
146.0;3.92;3.93
147.0;3.93;3.95
148.0;3.95;3.97
149.0;3.97;3.98
150.0;3.98;4.00
151.0;4.00;4.02
152.0;4.01;4.02
153.0;3.99;4.02
154.0;4.00;4.03
155.0;4.03;4.06
156.0;4.06;4.08
157.0;4.08;4.09
158.0;4.09;4.10
159.0;4.10;4.11
160.0;4.10;4.12
161.0;4.12;4.13
162.0;4.14;4.15
163.0;4.17;4.17
164.0;4.17;4.18
165.0;4.16;4.17
166.0;4.16;4.18
167.0;4.15;4.18
168.0;4.16;4.18
169.0;4.17;4.20
170.0;4.18;4.20
171.0;4.19;4.21
172.0;4.19;4.21
173.0;4.17;4.21
174.0;4.18;4.21
175.0;4.20;4.23
176.0;4.22;4.25
177.0;4.23;4.25
178.0;4.24;4.26
179.0;4.24;4.26
180.0;4.25;4.27
181.0;4.26;4.28
182.0;4.28;4.29
183.0;4.31;4.32
184.0;4.30;4.32
185.0;4.29;4.31
186.0;4.28;4.30
187.0;4.28;4.31
188.0;4.29;4.32
189.0;4.30;4.32
190.0;4.31;4.33
191.0;4.31;4.34
192.0;4.31;4.34
193.0;4.29;4.33
194.0;4.30;4.34
195.0;4.33;4.36
196.0;4.35;4.37
197.0;4.35;4.37
198.0;4.36;4.38
199.0;4.36;4.38
200.0;4.36;4.39
201.0;4.37;4.40
202.0;4.39;4.41
203.0;4.41;4.43
204.0;4.41;4.42
205.0;4.39;4.41
206.0;4.38;4.41
207.0;4.38;4.41
208.0;4.38;4.41
209.0;4.39;4.42
210.0;4.39;4.42
211.0;4.39;4.42
212.0;4.38;4.42
213.0;4.37;4.41
214.0;4.38;4.41
215.0;4.40;4.43
216.0;4.42;4.44
217.0;4.42;4.44
218.0;4.42;4.44
219.0;4.42;4.44
