waveform	[0]
t0	19.10.2013  17:22:29.631566
delta t	0.002000

time	Y[0]
  29.631566	-1.000000E-3
  29.633566	-1.000000E-3
  29.635566	-1.000000E-3
  29.637566	-1.000000E-3
  29.639566	-1.000000E-3
  29.641566	-1.000000E-3
  29.643566	-1.000000E-3
  29.645566	-1.000000E-3
  29.647566	-1.000000E-3
  29.649566	-1.000000E-3
  29.651566	-1.000000E-3
  29.653566	-1.000000E-3
  29.655566	-1.000000E-3
  29.657566	-1.000000E-3
  29.659566	-1.000000E-3
  29.661566	-1.000000E-3
  29.663566	-1.000000E-3
  29.665566	-1.000000E-3
  29.667566	-1.000000E-3
  29.669566	-1.000000E-3
  29.671566	-1.000000E-3
  29.673566	-1.000000E-3
  29.675566	-1.000000E-3
  29.677566	-1.000000E-3
  29.679566	-1.000000E-3
  29.681566	-1.000000E-3
  29.683566	-1.000000E-3
  29.685566	-1.000000E-3
  29.687566	-1.000000E-3
  29.689566	-1.000000E-3
  29.691566	-1.000000E-3
  29.693566	-1.000000E-3
  29.695566	-1.000000E-3
  29.697566	-1.000000E-3
  29.699566	-1.000000E-3
  29.701566	-1.000000E-3
  29.703566	-1.000000E-3
  29.705566	-1.000000E-3
  29.707566	-1.000000E-3
  29.709566	-1.000000E-3
  29.711566	-1.000000E-3
  29.713566	-1.000000E-3
  29.715566	-1.000000E-3
  29.717566	-1.000000E-3
  29.719566	-1.000000E-3
  29.721566	-1.000000E-3
  29.723566	-1.000000E-3
  29.725566	-1.000000E-3
  29.727566	-1.000000E-3
  29.729566	-1.000000E-3
  29.731566	-1.000000E-3
  29.733566	-1.000000E-3
  29.735566	-1.000000E-3
  29.737566	-1.000000E-3
  29.739566	-1.000000E-3
  29.741566	-1.000000E-3
  29.743566	-1.000000E-3
  29.745566	-1.000000E-3
  29.747566	-1.000000E-3
  29.749566	-1.000000E-3
  29.751566	-1.000000E-3
  29.753566	-1.000000E-3
  29.755566	-1.000000E-3
  29.757566	-1.000000E-3
  29.759566	-1.000000E-3
  29.761566	-1.000000E-3
  29.763566	-1.000000E-3
  29.765566	-1.000000E-3
  29.767566	-1.000000E-3
  29.769566	-1.000000E-3
  29.771566	-1.000000E-3
  29.773566	-1.000000E-3
  29.775566	-1.000000E-3
  29.777566	-1.000000E-3
  29.779566	-1.000000E-3
  29.781566	-1.000000E-3
  29.783566	-1.000000E-3
  29.785566	-1.000000E-3
  29.787566	-1.000000E-3
  29.789566	-1.000000E-3
  29.791566	-1.000000E-3
  29.793566	-1.000000E-3
  29.795566	-1.000000E-3
  29.797566	-1.000000E-3
  29.799566	-1.000000E-3
  29.801566	-1.000000E-3
  29.803566	-1.000000E-3
  29.805566	-1.000000E-3
  29.807566	-1.000000E-3
  29.809566	-1.000000E-3
  29.811566	-1.000000E-3
  29.813566	-1.000000E-3
  29.815566	-1.000000E-3
  29.817566	-1.000000E-3
  29.819566	-1.000000E-3
  29.821566	-1.000000E-3
  29.823566	-1.000000E-3
  29.825566	-1.000000E-3
  29.827566	-1.000000E-3
  29.829566	-1.000000E-3
  29.831566	-1.000000E-3
  29.833566	-1.000000E-3
  29.835566	-1.000000E-3
  29.837566	-1.000000E-3
  29.839566	-1.000000E-3
  29.841566	-1.000000E-3
  29.843566	-1.000000E-3
  29.845566	-1.000000E-3
  29.847566	-1.000000E-3
  29.849566	-1.000000E-3
  29.851566	-1.000000E-3
  29.853566	-1.000000E-3
  29.855566	-1.000000E-3
  29.857566	-1.000000E-3
  29.859566	-1.000000E-3
  29.861566	-1.000000E-3
  29.863566	-1.000000E-3
  29.865566	-1.000000E-3
  29.867566	-1.000000E-3
  29.869566	-1.000000E-3
  29.871566	-1.000000E-3
  29.873566	-1.000000E-3
  29.875566	-1.000000E-3
  29.877566	-1.000000E-3
  29.879566	-1.000000E-3
  29.881566	-1.000000E-3
  29.883566	-1.000000E-3
  29.885566	-1.000000E-3
  29.887566	-1.000000E-3
  29.889566	-1.000000E-3
  29.891566	-1.000000E-3
  29.893566	-1.000000E-3
  29.895566	-1.000000E-3
  29.897566	-1.000000E-3
  29.899566	-1.000000E-3
  29.901566	-1.000000E-3
  29.903566	-1.000000E-3
  29.905566	-1.000000E-3
  29.907566	-1.000000E-3
  29.909566	-1.000000E-3
  29.911566	-1.000000E-3
  29.913566	-1.000000E-3
  29.915566	-1.000000E-3
  29.917566	-1.000000E-3
  29.919566	-1.000000E-3
  29.921566	-1.000000E-3
  29.923566	-1.000000E-3
  29.925566	-1.000000E-3
  29.927566	-1.000000E-3
  29.929566	-1.000000E-3
  29.931566	-1.000000E-3
  29.933566	-1.000000E-3
  29.935566	-1.000000E-3
  29.937566	-1.000000E-3
  29.939566	-1.000000E-3
  29.941566	-1.000000E-3
  29.943566	-1.000000E-3
  29.945566	-1.000000E-3
  29.947566	-1.000000E-3
  29.949566	-1.000000E-3
  29.951566	-1.000000E-3
  29.953566	-1.000000E-3
  29.955566	-1.000000E-3
  29.957566	-1.000000E-3
  29.959566	-1.000000E-3
  29.961566	-1.000000E-3
  29.963566	-1.000000E-3
  29.965566	-1.000000E-3
  29.967566	-1.000000E-3
  29.969566	-1.000000E-3
  29.971566	-1.000000E-3
  29.973566	-1.000000E-3
  29.975566	-1.000000E-3
  29.977566	-1.000000E-3
  29.979566	-1.000000E-3
  29.981566	-1.000000E-3
  29.983566	-1.000000E-3
  29.985566	-1.000000E-3
  29.987566	-1.000000E-3
  29.989566	-1.000000E-3
  29.991566	-1.000000E-3
  29.993566	-1.000000E-3
  29.995566	-1.000000E-3
  29.997566	-1.000000E-3
  29.999566	-1.000000E-3
  30.001566	-1.000000E-3
  30.003566	-1.000000E-3
  30.005566	-1.000000E-3
  30.007566	-1.000000E-3
  30.009566	-1.000000E-3
  30.011566	-1.000000E-3
  30.013566	-1.000000E-3
  30.015566	-1.000000E-3
  30.017566	-1.000000E-3
  30.019566	-1.000000E-3
  30.021566	-1.000000E-3
  30.023566	-1.000000E-3
  30.025566	-1.000000E-3
  30.027566	-1.000000E-3
  30.029566	-1.000000E-3
  30.031566	-1.000000E-3
  30.033566	-1.000000E-3
  30.035566	-1.000000E-3
  30.037566	-1.000000E-3
  30.039566	-1.000000E-3
  30.041566	-1.000000E-3
  30.043566	-1.000000E-3
  30.045566	-1.000000E-3
  30.047566	-1.000000E-3
  30.049566	-1.000000E-3
  30.051566	-1.000000E-3
  30.053566	-1.000000E-3
  30.055566	-1.000000E-3
  30.057566	-1.000000E-3
  30.059566	-1.000000E-3
  30.061566	-1.000000E-3
  30.063566	-1.000000E-3
  30.065566	-1.000000E-3
  30.067566	-1.000000E-3
  30.069566	-1.000000E-3
  30.071566	-1.000000E-3
  30.073566	-1.000000E-3
  30.075566	-1.000000E-3
  30.077566	-1.000000E-3
  30.079566	-1.000000E-3
  30.081566	-1.000000E-3
  30.083566	-1.000000E-3
  30.085566	-1.000000E-3
  30.087566	-1.000000E-3
  30.089566	-1.000000E-3
  30.091566	-1.000000E-3
  30.093566	-1.000000E-3
  30.095566	-1.000000E-3
  30.097566	-1.000000E-3
  30.099566	-1.000000E-3
  30.101566	-1.000000E-3
  30.103566	-1.000000E-3
  30.105566	-1.000000E-3
  30.107566	-1.000000E-3
  30.109566	-1.000000E-3
  30.111566	-1.000000E-3
  30.113566	-1.000000E-3
  30.115566	-1.000000E-3
  30.117566	-1.000000E-3
  30.119566	-1.000000E-3
  30.121566	-1.000000E-3
  30.123566	-1.000000E-3
  30.125566	-1.000000E-3
  30.127566	-1.000000E-3
  30.129566	-1.000000E-3
  30.131566	-1.000000E-3
  30.133566	-1.000000E-3
  30.135566	-1.000000E-3
  30.137566	-1.000000E-3
  30.139566	-1.000000E-3
  30.141566	-1.000000E-3
  30.143566	-1.000000E-3
  30.145566	-1.000000E-3
  30.147566	-1.000000E-3
  30.149566	-1.000000E-3
  30.151566	-1.000000E-3
  30.153566	-1.000000E-3
  30.155566	-1.000000E-3
  30.157566	-1.000000E-3
  30.159566	-1.000000E-3
  30.161566	-1.000000E-3
  30.163566	-1.000000E-3
  30.165566	-1.000000E-3
  30.167566	-1.000000E-3
  30.169566	-1.000000E-3
  30.171566	-1.000000E-3
  30.173566	-1.000000E-3
  30.175566	-1.000000E-3
  30.177566	-1.000000E-3
  30.179566	-1.000000E-3
  30.181566	-1.000000E-3
  30.183566	-1.000000E-3
  30.185566	-1.000000E-3
  30.187566	-1.000000E-3
  30.189566	-1.000000E-3
  30.191566	-1.000000E-3
  30.193566	-1.000000E-3
  30.195566	-1.000000E-3
  30.197566	-1.000000E-3
  30.199566	-1.000000E-3
  30.201566	-1.000000E-3
  30.203566	-1.000000E-3
  30.205566	-1.000000E-3
  30.207566	-1.000000E-3
  30.209566	-1.000000E-3
  30.211566	-1.000000E-3
  30.213566	-1.000000E-3
  30.215566	-1.000000E-3
  30.217566	-1.000000E-3
  30.219566	-1.000000E-3
  30.221566	-1.000000E-3
  30.223566	-1.000000E-3
  30.225566	-1.000000E-3
  30.227566	-1.000000E-3
  30.229566	-1.000000E-3
  30.231566	-1.000000E-3
  30.233566	-1.000000E-3
  30.235566	-1.000000E-3
  30.237566	-1.000000E-3
  30.239566	-1.000000E-3
  30.241566	-1.000000E-3
  30.243566	-1.000000E-3
  30.245566	-1.000000E-3
  30.247566	-1.000000E-3
  30.249566	-1.000000E-3
  30.251566	-1.000000E-3
  30.253566	-1.000000E-3
  30.255566	-1.000000E-3
  30.257566	-1.000000E-3
  30.259566	-1.000000E-3
  30.261566	-1.000000E-3
  30.263566	-1.000000E-3
  30.265566	-1.000000E-3
  30.267566	-1.000000E-3
  30.269566	-1.000000E-3
  30.271566	-1.000000E-3
  30.273566	-1.000000E-3
  30.275566	-1.000000E-3
  30.277566	-1.000000E-3
  30.279566	-1.000000E-3
  30.281566	-1.000000E-3
  30.283566	-1.000000E-3
  30.285566	-1.000000E-3
  30.287566	-1.000000E-3
  30.289566	-1.000000E-3
  30.291566	-1.000000E-3
  30.293566	-1.000000E-3
  30.295566	-1.000000E-3
  30.297566	-1.000000E-3
  30.299566	-1.000000E-3
  30.301566	-1.000000E-3
  30.303566	-1.000000E-3
  30.305566	-1.000000E-3
  30.307566	-1.000000E-3
  30.309566	-1.000000E-3
  30.311566	-1.000000E-3
  30.313566	-1.000000E-3
  30.315566	-1.000000E-3
  30.317566	-1.000000E-3
  30.319566	-1.000000E-3
  30.321566	-1.000000E-3
  30.323566	-1.000000E-3
  30.325566	-1.000000E-3
  30.327566	-1.000000E-3
  30.329566	-1.000000E-3
  30.331566	-1.000000E-3
  30.333566	-1.000000E-3
  30.335566	-1.000000E-3
  30.337566	-1.000000E-3
  30.339566	-1.000000E-3
  30.341566	-1.000000E-3
  30.343566	-1.000000E-3
  30.345566	-1.000000E-3
  30.347566	-1.000000E-3
  30.349566	-1.000000E-3
  30.351566	-1.000000E-3
  30.353566	-1.000000E-3
  30.355566	-1.000000E-3
  30.357566	-1.000000E-3
  30.359566	-1.000000E-3
  30.361566	-1.000000E-3
  30.363566	-1.000000E-3
  30.365566	-1.000000E-3
  30.367566	-1.000000E-3
  30.369566	-1.000000E-3
  30.371566	-1.000000E-3
  30.373566	-1.000000E-3
  30.375566	-1.000000E-3
  30.377566	-1.000000E-3
  30.379566	-1.000000E-3
  30.381566	-1.000000E-3
  30.383566	-1.000000E-3
  30.385566	-1.000000E-3
  30.387566	-1.000000E-3
  30.389566	-1.000000E-3
  30.391566	-1.000000E-3
  30.393566	-1.000000E-3
  30.395566	-1.000000E-3
  30.397566	-1.000000E-3
  30.399566	-1.000000E-3
  30.401566	-1.000000E-3
  30.403566	-1.000000E-3
  30.405566	-1.000000E-3
  30.407566	-1.000000E-3
  30.409566	-1.000000E-3
  30.411566	-1.000000E-3
  30.413566	-1.000000E-3
  30.415566	-1.000000E-3
  30.417566	-1.000000E-3
  30.419566	-1.000000E-3
  30.421566	-1.000000E-3
  30.423566	-1.000000E-3
  30.425566	-1.000000E-3
  30.427566	-1.000000E-3
  30.429566	-1.000000E-3
  30.431566	-1.000000E-3
  30.433566	-1.000000E-3
  30.435566	-1.000000E-3
  30.437566	-1.000000E-3
  30.439566	-1.000000E-3
  30.441566	-1.000000E-3
  30.443566	-1.000000E-3
  30.445566	-1.000000E-3
  30.447566	-1.000000E-3
  30.449566	-1.000000E-3
  30.451566	-1.000000E-3
  30.453566	-1.000000E-3
  30.455566	-1.000000E-3
  30.457566	-1.000000E-3
  30.459566	-1.000000E-3
  30.461566	-1.000000E-3
  30.463566	-1.000000E-3
  30.465566	-1.000000E-3
  30.467566	-1.000000E-3
  30.469566	-1.000000E-3
  30.471566	-1.000000E-3
  30.473566	-1.000000E-3
  30.475566	-1.000000E-3
  30.477566	-1.000000E-3
  30.479566	-1.000000E-3
  30.481566	-1.000000E-3
  30.483566	-1.000000E-3
  30.485566	-1.000000E-3
  30.487566	-1.000000E-3
  30.489566	-1.000000E-3
  30.491566	-1.000000E-3
  30.493566	-1.000000E-3
  30.495566	-1.000000E-3
  30.497566	-1.000000E-3
  30.499566	-1.000000E-3
  30.501566	-1.000000E-3
  30.503566	-1.000000E-3
  30.505566	-1.000000E-3
  30.507566	-1.000000E-3
  30.509566	-1.000000E-3
  30.511566	-1.000000E-3
  30.513566	-1.000000E-3
  30.515566	-1.000000E-3
  30.517566	-1.000000E-3
  30.519566	-1.000000E-3
  30.521566	-1.000000E-3
  30.523566	-1.000000E-3
  30.525566	-1.000000E-3
  30.527566	-1.000000E-3
  30.529566	-1.000000E-3
  30.531566	-1.000000E-3
  30.533566	-1.000000E-3
  30.535566	-1.000000E-3
  30.537566	-1.000000E-3
  30.539566	-1.000000E-3
  30.541566	-1.000000E-3
  30.543566	-1.000000E-3
  30.545566	-1.000000E-3
  30.547566	-1.000000E-3
  30.549566	-1.000000E-3
  30.551566	-1.000000E-3
  30.553566	-1.000000E-3
