waveform	[0]
t0	19.10.2013  14:13:31.428030
delta t	0.002000

time	Y[0]
  31.428030	1.356000E-3
  31.430030	3.560000E-4
  31.432030	1.356000E-3
  31.434030	1.356000E-3
  31.436030	1.356000E-3
  31.438030	1.356000E-3
  31.440030	2.356000E-3
  31.442030	1.356000E-3
  31.444030	1.356000E-3
  31.446030	1.356000E-3
  31.448030	1.356000E-3
  31.450030	3.560000E-4
  31.452030	1.356000E-3
  31.454030	1.356000E-3
  31.456030	1.356000E-3
  31.458030	1.356000E-3
  31.460030	2.356000E-3
  31.462030	1.356000E-3
  31.464030	1.356000E-3
  31.466030	1.356000E-3
  31.468030	1.356000E-3
  31.470030	3.560000E-4
  31.472030	1.356000E-3
  31.474030	1.356000E-3
  31.476030	1.356000E-3
  31.478030	1.356000E-3
  31.480030	2.356000E-3
  31.482030	1.356000E-3
  31.484030	1.356000E-3
  31.486030	1.356000E-3
  31.488030	1.356000E-3
  31.490030	3.560000E-4
  31.492030	1.356000E-3
  31.494030	1.356000E-3
  31.496030	1.356000E-3
  31.498030	1.356000E-3
  31.500030	2.356000E-3
  31.502030	1.356000E-3
  31.504030	1.356000E-3
  31.506030	1.356000E-3
  31.508030	1.356000E-3
  31.510030	3.560000E-4
  31.512030	1.356000E-3
  31.514030	1.356000E-3
  31.516030	1.356000E-3
  31.518030	1.356000E-3
  31.520030	2.356000E-3
  31.522030	1.356000E-3
  31.524030	1.356000E-3
  31.526030	1.356000E-3
  31.528030	1.356000E-3
  31.530030	3.560000E-4
  31.532030	1.356000E-3
  31.534030	1.356000E-3
  31.536030	1.356000E-3
  31.538030	1.356000E-3
  31.540030	2.356000E-3
  31.542030	1.356000E-3
  31.544030	1.356000E-3
  31.546030	1.356000E-3
  31.548030	1.356000E-3
  31.550030	3.560000E-4
  31.552030	1.356000E-3
  31.554030	1.356000E-3
  31.556030	1.356000E-3
  31.558030	1.356000E-3
  31.560030	2.356000E-3
  31.562030	1.356000E-3
  31.564030	1.356000E-3
  31.566030	1.356000E-3
  31.568030	1.356000E-3
  31.570030	3.560000E-4
  31.572030	1.356000E-3
  31.574030	1.356000E-3
  31.576030	1.356000E-3
  31.578030	1.356000E-3
  31.580030	2.356000E-3
  31.582030	1.356000E-3
  31.584030	1.356000E-3
  31.586030	1.356000E-3
  31.588030	1.356000E-3
  31.590030	3.560000E-4
  31.592030	3.560000E-4
  31.594030	1.356000E-3
  31.596030	1.356000E-3
  31.598030	1.356000E-3
  31.600030	2.356000E-3
  31.602030	1.356000E-3
  31.604030	1.356000E-3
  31.606030	1.356000E-3
  31.608030	1.356000E-3
  31.610030	3.560000E-4
  31.612030	1.356000E-3
  31.614030	1.356000E-3
  31.616030	1.356000E-3
  31.618030	1.356000E-3
  31.620030	2.356000E-3
  31.622030	1.356000E-3
  31.624030	1.356000E-3
  31.626030	1.356000E-3
  31.628030	1.356000E-3
  31.630030	3.560000E-4
  31.632030	1.356000E-3
  31.634030	1.356000E-3
  31.636030	1.356000E-3
  31.638030	1.356000E-3
  31.640030	2.356000E-3
  31.642030	1.356000E-3
  31.644030	1.356000E-3
  31.646030	1.356000E-3
  31.648030	1.356000E-3
  31.650030	3.560000E-4
  31.652030	1.356000E-3
  31.654030	1.356000E-3
  31.656030	1.356000E-3
  31.658030	1.356000E-3
  31.660030	2.356000E-3
  31.662030	1.356000E-3
  31.664030	1.356000E-3
  31.666030	1.356000E-3
  31.668030	1.356000E-3
  31.670030	3.560000E-4
  31.672030	3.560000E-4
  31.674030	1.356000E-3
  31.676030	1.356000E-3
  31.678030	1.356000E-3
  31.680030	2.356000E-3
  31.682030	2.356000E-3
  31.684030	1.356000E-3
  31.686030	1.356000E-3
  31.688030	1.356000E-3
  31.690030	3.560000E-4
  31.692030	3.560000E-4
  31.694030	1.356000E-3
  31.696030	1.356000E-3
  31.698030	1.356000E-3
  31.700030	2.356000E-3
  31.702030	2.356000E-3
  31.704030	1.356000E-3
  31.706030	1.356000E-3
  31.708030	1.356000E-3
