waveform	[0]
t0	19.10.2013  17:22:29.391220
delta t	0.002000

time	Y[0]
  29.391220	-3.000000E-3
  29.393220	0.000000E+0
  29.395220	-1.000000E-3
  29.397220	-2.000000E-3
  29.399220	-2.000000E-3
  29.401220	0.000000E+0
  29.403220	-3.000000E-3
  29.405220	-2.000000E-3
  29.407220	-2.000000E-3
  29.409220	-2.000000E-3
  29.411220	-3.000000E-3
  29.413220	0.000000E+0
  29.415220	-1.000000E-3
  29.417220	-2.000000E-3
  29.419220	-2.000000E-3
  29.421220	0.000000E+0
  29.423220	-3.000000E-3
  29.425220	-2.000000E-3
  29.427220	-2.000000E-3
  29.429220	-2.000000E-3
  29.431220	-3.000000E-3
  29.433220	0.000000E+0
  29.435220	-1.000000E-3
  29.437220	-2.000000E-3
  29.439220	-2.000000E-3
  29.441220	0.000000E+0
  29.443220	-3.000000E-3
  29.445220	-2.000000E-3
  29.447220	-2.000000E-3
  29.449220	-1.000000E-3
  29.451220	-3.000000E-3
  29.453220	0.000000E+0
  29.455220	-1.000000E-3
  29.457220	-2.000000E-3
  29.459220	-2.000000E-3
  29.461220	0.000000E+0
  29.463220	-3.000000E-3
  29.465220	-2.000000E-3
  29.467220	-2.000000E-3
  29.469220	-1.000000E-3
  29.471220	-3.000000E-3
  29.473220	0.000000E+0
  29.475220	-1.000000E-3
  29.477220	-2.000000E-3
  29.479220	-2.000000E-3
  29.481220	0.000000E+0
  29.483220	-3.000000E-3
  29.485220	-2.000000E-3
  29.487220	-2.000000E-3
  29.489220	-2.000000E-3
  29.491220	-3.000000E-3
  29.493220	0.000000E+0
  29.495220	-1.000000E-3
  29.497220	-2.000000E-3
  29.499220	-2.000000E-3
  29.501220	0.000000E+0
  29.503220	-3.000000E-3
  29.505220	-2.000000E-3
  29.507220	-2.000000E-3
  29.509220	-1.000000E-3
  29.511220	-3.000000E-3
  29.513220	0.000000E+0
  29.515220	-1.000000E-3
  29.517220	-2.000000E-3
  29.519220	-2.000000E-3
  29.521220	0.000000E+0
  29.523220	-3.000000E-3
  29.525220	-2.000000E-3
  29.527220	-2.000000E-3
  29.529220	-2.000000E-3
  29.531220	-3.000000E-3
  29.533220	0.000000E+0
  29.535220	-1.000000E-3
  29.537220	-2.000000E-3
  29.539220	-2.000000E-3
  29.541220	0.000000E+0
  29.543220	-3.000000E-3
  29.545220	-2.000000E-3
  29.547220	-2.000000E-3
  29.549220	-2.000000E-3
  29.551220	-3.000000E-3
  29.553220	0.000000E+0
  29.555220	-1.000000E-3
  29.557220	-2.000000E-3
  29.559220	-2.000000E-3
  29.561220	0.000000E+0
  29.563220	-3.000000E-3
  29.565220	-2.000000E-3
  29.567220	-2.000000E-3
  29.569220	-1.000000E-3
  29.571220	-3.000000E-3
  29.573220	0.000000E+0
  29.575220	-1.000000E-3
  29.577220	-2.000000E-3
  29.579220	-2.000000E-3
  29.581220	0.000000E+0
  29.583220	-3.000000E-3
  29.585220	-2.000000E-3
  29.587220	-2.000000E-3
  29.589220	-1.000000E-3
  29.591220	-3.000000E-3
  29.593220	0.000000E+0
  29.595220	-1.000000E-3
  29.597220	-2.000000E-3
  29.599220	-2.000000E-3
  29.601220	0.000000E+0
  29.603220	-2.000000E-3
  29.605220	-2.000000E-3
  29.607220	-2.000000E-3
  29.609220	-1.000000E-3
  29.611220	-3.000000E-3
  29.613220	0.000000E+0
  29.615220	-1.000000E-3
  29.617220	-2.000000E-3
  29.619220	-2.000000E-3
  29.621220	0.000000E+0
  29.623220	-3.000000E-3
  29.625220	-2.000000E-3
  29.627220	-2.000000E-3
  29.629220	-1.000000E-3
  29.631220	-3.000000E-3
  29.633220	0.000000E+0
  29.635220	-1.000000E-3
  29.637220	-2.000000E-3
  29.639220	-2.000000E-3
  29.641220	0.000000E+0
  29.643220	-3.000000E-3
  29.645220	-2.000000E-3
  29.647220	-2.000000E-3
  29.649220	-2.000000E-3
  29.651220	-3.000000E-3
  29.653220	0.000000E+0
  29.655220	-1.000000E-3
  29.657220	-2.000000E-3
  29.659220	-2.000000E-3
  29.661220	0.000000E+0
  29.663220	-3.000000E-3
  29.665220	-2.000000E-3
  29.667220	-2.000000E-3
  29.669220	-1.000000E-3
  29.671220	-3.000000E-3
  29.673220	0.000000E+0
  29.675220	-1.000000E-3
  29.677220	-2.000000E-3
  29.679220	-2.000000E-3
  29.681220	0.000000E+0
  29.683220	-3.000000E-3
  29.685220	-2.000000E-3
  29.687220	-2.000000E-3
  29.689220	-1.000000E-3
  29.691220	-3.000000E-3
  29.693220	0.000000E+0
  29.695220	-1.000000E-3
  29.697220	-2.000000E-3
  29.699220	-2.000000E-3
  29.701220	0.000000E+0
  29.703220	-3.000000E-3
  29.705220	-2.000000E-3
  29.707220	-2.000000E-3
  29.709220	-1.000000E-3
  29.711220	-3.000000E-3
  29.713220	0.000000E+0
  29.715220	-1.000000E-3
  29.717220	-2.000000E-3
  29.719220	-2.000000E-3
  29.721220	0.000000E+0
  29.723220	-3.000000E-3
  29.725220	-2.000000E-3
  29.727220	-2.000000E-3
  29.729220	-1.000000E-3
  29.731220	-3.000000E-3
  29.733220	0.000000E+0
  29.735220	-1.000000E-3
  29.737220	-2.000000E-3
  29.739220	-2.000000E-3
  29.741220	0.000000E+0
  29.743220	-3.000000E-3
  29.745220	-2.000000E-3
  29.747220	-2.000000E-3
  29.749220	-1.000000E-3
  29.751220	-3.000000E-3
  29.753220	0.000000E+0
  29.755220	-1.000000E-3
  29.757220	-2.000000E-3
  29.759220	-2.000000E-3
  29.761220	0.000000E+0
  29.763220	-2.000000E-3
  29.765220	-2.000000E-3
  29.767220	-2.000000E-3
  29.769220	-1.000000E-3
  29.771220	-3.000000E-3
  29.773220	-1.000000E-3
  29.775220	-1.000000E-3
  29.777220	-2.000000E-3
  29.779220	-2.000000E-3
  29.781220	0.000000E+0
  29.783220	-3.000000E-3
  29.785220	-2.000000E-3
  29.787220	-2.000000E-3
  29.789220	-2.000000E-3
  29.791220	-3.000000E-3
  29.793220	0.000000E+0
  29.795220	-1.000000E-3
  29.797220	-2.000000E-3
  29.799220	-2.000000E-3
  29.801220	0.000000E+0
  29.803220	-3.000000E-3
  29.805220	-2.000000E-3
  29.807220	-2.000000E-3
  29.809220	-1.000000E-3
  29.811220	-3.000000E-3
  29.813220	0.000000E+0
  29.815220	-1.000000E-3
  29.817220	-2.000000E-3
  29.819220	-2.000000E-3
  29.821220	0.000000E+0
  29.823220	-3.000000E-3
  29.825220	-2.000000E-3
  29.827220	-2.000000E-3
  29.829220	-1.000000E-3
  29.831220	-3.000000E-3
  29.833220	0.000000E+0
  29.835220	-1.000000E-3
  29.837220	-2.000000E-3
  29.839220	-2.000000E-3
  29.841220	0.000000E+0
  29.843220	-2.000000E-3
  29.845220	-2.000000E-3
  29.847220	-2.000000E-3
  29.849220	-1.000000E-3
  29.851220	-3.000000E-3
  29.853220	0.000000E+0
  29.855220	-1.000000E-3
  29.857220	-2.000000E-3
  29.859220	-2.000000E-3
  29.861220	0.000000E+0
  29.863220	-2.000000E-3
  29.865220	-2.000000E-3
  29.867220	-2.000000E-3
  29.869220	-1.000000E-3
  29.871220	-3.000000E-3
  29.873220	0.000000E+0
  29.875220	-1.000000E-3
  29.877220	-2.000000E-3
  29.879220	-2.000000E-3
  29.881220	0.000000E+0
  29.883220	-2.000000E-3
  29.885220	-2.000000E-3
  29.887220	-2.000000E-3
  29.889220	-1.000000E-3
  29.891220	-3.000000E-3
  29.893220	0.000000E+0
  29.895220	-1.000000E-3
  29.897220	-2.000000E-3
  29.899220	-2.000000E-3
  29.901220	0.000000E+0
  29.903220	-3.000000E-3
  29.905220	-2.000000E-3
  29.907220	-2.000000E-3
  29.909220	-1.000000E-3
  29.911220	-3.000000E-3
  29.913220	-1.000000E-3
  29.915220	-1.000000E-3
  29.917220	-2.000000E-3
  29.919220	-2.000000E-3
  29.921220	0.000000E+0
  29.923220	-3.000000E-3
  29.925220	-2.000000E-3
  29.927220	-2.000000E-3
  29.929220	-1.000000E-3
  29.931220	-3.000000E-3
  29.933220	-1.000000E-3
  29.935220	-1.000000E-3
  29.937220	-2.000000E-3
  29.939220	-2.000000E-3
  29.941220	0.000000E+0
  29.943220	-3.000000E-3
  29.945220	-2.000000E-3
  29.947220	-2.000000E-3
  29.949220	-1.000000E-3
  29.951220	-3.000000E-3
  29.953220	0.000000E+0
  29.955220	-1.000000E-3
  29.957220	-2.000000E-3
  29.959220	-2.000000E-3
  29.961220	0.000000E+0
  29.963220	-2.000000E-3
  29.965220	-2.000000E-3
  29.967220	-2.000000E-3
  29.969220	-1.000000E-3
  29.971220	-3.000000E-3
  29.973220	0.000000E+0
  29.975220	-1.000000E-3
  29.977220	-2.000000E-3
  29.979220	-2.000000E-3
  29.981220	0.000000E+0
  29.983220	-3.000000E-3
  29.985220	-2.000000E-3
  29.987220	-2.000000E-3
  29.989220	-1.000000E-3
  29.991220	-3.000000E-3
  29.993220	0.000000E+0
  29.995220	-1.000000E-3
  29.997220	-2.000000E-3
  29.999220	-2.000000E-3
  30.001220	0.000000E+0
  30.003220	-2.000000E-3
  30.005220	-2.000000E-3
  30.007220	-2.000000E-3
  30.009220	-1.000000E-3
  30.011220	-3.000000E-3
  30.013220	0.000000E+0
  30.015220	-1.000000E-3
  30.017220	-2.000000E-3
  30.019220	-2.000000E-3
  30.021220	0.000000E+0
  30.023220	-2.000000E-3
  30.025220	-2.000000E-3
  30.027220	-2.000000E-3
  30.029220	-1.000000E-3
  30.031220	-3.000000E-3
  30.033220	-1.000000E-3
  30.035220	-1.000000E-3
  30.037220	-2.000000E-3
  30.039220	-2.000000E-3
  30.041220	0.000000E+0
  30.043220	-3.000000E-3
  30.045220	-2.000000E-3
  30.047220	-2.000000E-3
  30.049220	-1.000000E-3
  30.051220	-3.000000E-3
  30.053220	0.000000E+0
  30.055220	-1.000000E-3
  30.057220	-2.000000E-3
  30.059220	-2.000000E-3
  30.061220	0.000000E+0
  30.063220	-2.000000E-3
  30.065220	-2.000000E-3
  30.067220	-2.000000E-3
  30.069220	-1.000000E-3
  30.071220	-3.000000E-3
  30.073220	0.000000E+0
  30.075220	-1.000000E-3
  30.077220	-2.000000E-3
  30.079220	-2.000000E-3
  30.081220	0.000000E+0
  30.083220	-2.000000E-3
  30.085220	-2.000000E-3
  30.087220	-2.000000E-3
  30.089220	-2.000000E-3
  30.091220	-3.000000E-3
  30.093220	0.000000E+0
  30.095220	-1.000000E-3
  30.097220	-2.000000E-3
  30.099220	-2.000000E-3
  30.101220	0.000000E+0
  30.103220	-2.000000E-3
  30.105220	-2.000000E-3
  30.107220	-2.000000E-3
  30.109220	-1.000000E-3
  30.111220	-3.000000E-3
  30.113220	0.000000E+0
  30.115220	-1.000000E-3
  30.117220	-2.000000E-3
  30.119220	-2.000000E-3
  30.121220	0.000000E+0
  30.123220	-2.000000E-3
  30.125220	-2.000000E-3
  30.127220	-2.000000E-3
  30.129220	-1.000000E-3
  30.131220	-3.000000E-3
  30.133220	0.000000E+0
  30.135220	-1.000000E-3
  30.137220	-2.000000E-3
  30.139220	-2.000000E-3
  30.141220	0.000000E+0
  30.143220	-2.000000E-3
  30.145220	-2.000000E-3
  30.147220	-2.000000E-3
  30.149220	-2.000000E-3
