waveform	[0]
t0	25.09.2014  10:45:58.909766
delta t	0.002000

time	Y[0]
  58.909766	-5.200000E-3
  58.911766	-8.800000E-3
  58.913766	-1.600000E-3
  58.915766	-6.400000E-3
  58.917766	-6.400000E-3
  58.919766	-1.000000E-2
  58.921766	-7.600000E-3
  58.923766	-1.240000E-2
  58.925766	-8.800000E-3
  58.927766	-8.800000E-3
  58.929766	-6.400000E-3
  58.931766	-8.800000E-3
  58.933766	-1.600000E-3
  58.935766	-6.400000E-3
  58.937766	-6.400000E-3
  58.939766	-1.000000E-2
  58.941766	-6.400000E-3
  58.943766	-1.240000E-2
  58.945766	-8.800000E-3
  58.947766	-8.800000E-3
  58.949766	-6.400000E-3
  58.951766	-8.800000E-3
  58.953766	-1.600000E-3
  58.955766	-6.400000E-3
  58.957766	-6.400000E-3
  58.959766	-1.000000E-2
  58.961766	-6.400000E-3
  58.963766	-1.120000E-2
  58.965766	-8.800000E-3
  58.967766	-8.800000E-3
  58.969766	-5.200000E-3
  58.971766	-8.800000E-3
  58.973766	-1.600000E-3
  58.975766	-6.400000E-3
  58.977766	-6.400000E-3
  58.979766	-1.000000E-2
  58.981766	-7.600000E-3
  58.983766	-1.240000E-2
  58.985766	-8.800000E-3
  58.987766	-8.800000E-3
  58.989766	-5.200000E-3
  58.991766	-8.800000E-3
  58.993766	-1.600000E-3
  58.995766	-6.400000E-3
  58.997766	-6.400000E-3
  58.999766	-1.000000E-2
  59.001766	-6.400000E-3
  59.003766	-1.240000E-2
  59.005766	-8.800000E-3
  59.007766	-8.800000E-3
  59.009766	-5.200000E-3
  59.011766	-8.800000E-3
  59.013766	-1.600000E-3
  59.015766	-6.400000E-3
  59.017766	-6.400000E-3
  59.019766	-1.000000E-2
  59.021766	-6.400000E-3
  59.023766	-1.240000E-2
  59.025766	-8.800000E-3
  59.027766	-8.800000E-3
  59.029766	-6.400000E-3
  59.031766	-8.800000E-3
  59.033766	-1.600000E-3
  59.035766	-6.400000E-3
  59.037766	-6.400000E-3
  59.039766	-1.000000E-2
  59.041766	-6.400000E-3
  59.043766	-1.120000E-2
  59.045766	-8.800000E-3
  59.047766	-8.800000E-3
  59.049766	-5.200000E-3
  59.051766	-8.800000E-3
  59.053766	-1.600000E-3
  59.055766	-6.400000E-3
  59.057766	-6.400000E-3
  59.059766	-1.000000E-2
  59.061766	-6.400000E-3
  59.063766	-1.240000E-2
  59.065766	-8.800000E-3
  59.067766	-8.800000E-3
  59.069766	-6.400000E-3
  59.071766	-8.800000E-3
  59.073766	-2.800000E-3
  59.075766	-6.400000E-3
  59.077766	-6.400000E-3
  59.079766	-8.800000E-3
  59.081766	-6.400000E-3
  59.083766	-1.120000E-2
  59.085766	-8.800000E-3
  59.087766	-8.800000E-3
  59.089766	-6.400000E-3
  59.091766	-8.800000E-3
  59.093766	-1.600000E-3
  59.095766	-6.400000E-3
  59.097766	-6.400000E-3
  59.099766	-1.000000E-2
  59.101766	-6.400000E-3
  59.103766	-1.120000E-2
  59.105766	-8.800000E-3
  59.107766	-8.800000E-3
  59.109766	-5.200000E-3
  59.111766	-8.800000E-3
  59.113766	-1.600000E-3
  59.115766	-6.400000E-3
  59.117766	-6.400000E-3
  59.119766	-1.000000E-2
  59.121766	-6.400000E-3
  59.123766	-1.120000E-2
  59.125766	-8.800000E-3
  59.127766	-8.800000E-3
  59.129766	-6.400000E-3
  59.131766	-8.800000E-3
